Lemma	POS	Description
aenus	21	
aequabilis	24	
aequabiliter	60	
aequaeuus	21	
aequalis1	13	 L'ami;Le Contemporain
aequalis2	24	
aequalitas	13	
aequaliter	60	
aequanimitas	13	
aeque	60	
Aequi	12	
Aequicoli	12	
Aequicus	21	
aequilatatio	13	
aequinoctialis	24	
aequinoctium	12	
aequiparo	51	
aequipollens	25	
aequipondium	12	
aequitas	13	
aequo	51	
aequor	13	
aequoreus	21	
aequum	12	 La Plaine ;L'égalité des choses (Uniquement dans les locutions avec Prép.);=RECTVM (Sg.,Pf)
aequus	21	
Aequus	21	
aer	17	
aeraceus	21	
aeraria	11	
aerarium	12	
aerarius1	12	
aerarius2	21	
aeratus	21	
aereus1	12	
aereus2	21	
aeripes	25	
aerius	21	
aero	13	
aeruca	11	
aeruginosus	21	
aerugo	13	
aerumna	11	
aerumnabilis	24	
aerumnosus	21	
aes	13	
Aeschrio	17	
Aeschylus	12	
Aesculapius	12	
aesculetum	12	
aesculinus	21	
aesculus	12	
aeserninus_C	12	
Aesopeus	21	
aestas	13	
aestifer	21	
aestimatio	13	
aestimator	13	
aestimo	51	
aestiua	12	 = AESTIVA LOCA, AESTIVA CASTRA
aestiuus	21	
aestuarium	12	
aestuo	51	
aestuose	6-	
aestuosus	21	
aestus	14	
aetas	13	
aeternitas	13	
aeterno1	51	
aeterno2	60	
aeternum1	12	 (Uniquement au Sg. dans les locutions avec Prép.)
aeternum2	60	
aeternus	21	
aether	17	
aetherius	21	
aethra	11	
aetiologia	17	
Aetna1	11	=Mons
Aetna2	11	=VRBS
Aetnaeus	21	
Aetnenses	13	
Aetnensis	24	
Aetolia	11	
Aetolicus	21	
Aetolus	21	
aeuum	12	
aeuus	12	 = AEVVM (rare)
affabilis	24	
affabre	60	
affatim	60	
affatus	14	
affectatio	13	
affectator	13	
affectio	13	
affecto	51	
affectus1	14	
affectus2	21	 (A tous les sens du Verbe)
affero	56	
afficio	55	
affigo	53	
affingo	53	
affinis1	13	
affinis2	24	
